553fb2c019043c0b29be84a8,Seattle Center,Tell your friends I'm an artist,An exit exhibition w/ wally bivins,4/28/2015 11:00am,4/28/2015 12:00pm,start,553d23a4b294237cdf412333
553fb2c019043c0b29be84a8,Seattle Center,Outside Mullingar,Seattle Repatory Theatre,4/28/2015 7:30pm,4/28/2015 8:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Discover the Art of Culture,Exhibit essence cural festival,4/29/2015 9:00am,4/29/2015 10:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Star Wars and the Art of the Costume,"Travel to a Galaxy far, far away…",4/29/2015 10:00am,4/29/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Pompeii: The Exhibition,Pompeii before eruption,4/29/2015 11:00am,4/29/2015 12:00pm,start,553d23a4b294237cdf412333
553fb2c019043c0b29be84a8,Seattle Center,Little Bee,Repertory Preformance,4/29/2015 2:00pm,4/29/2015 3:00pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Little Bee,Repertory Preformance,4/29/2015 7:30pm,4/29/2015 8:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Discover the Art of Culture,Exhibit essence cural festival,4/30/2015 9:00am,4/30/2015 10:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Star Wars and the Art of the Costume,"Travel to a Galaxy far, far away…",4/30/2015 10:00am,4/30/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Pompeii: The Exhibition,Pompeii before eruption,4/30/2015 10:00am,4/30/2015 11:00am,start,553d23a4b294237cdf412333
553fb2c019043c0b29be84a8,Seattle Center,Tell your friends I'm an artist,An exit exhibition w/ wally bivins,4/30/2015 11:00am,4/30/2015 12:00pm,start,553d23a4b294237cdf412333
553fb2c019043c0b29be84a8,Seattle Center,RSJI Summit,International Jazz Day,4/30/2015 12:00pm,4/30/2015 1:00pm,Start,"55352fda846af9640a518a04,55352fda846af9640a518a06"
553fb2c019043c0b29be84a8,Seattle Center,The Hot Spot,Teatro Zinzani Performance,4/30/2015 6:30pm,4/30/2015  7:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Robin hood,Seattle Children Performance,4/30/2015 7:00pm,4/30/2015 8:00pm,start,"553549d4c7bf45e600d54166,55352fda846af9640a518a0f"
553fb2c019043c0b29be84a8,Seattle Center,Little Bee,Book-it Repatory Performance,4/30/2015 7:30pm,4/30/2015 8:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Outside Mullingar,Seattle Repatory Theatre,4/30/2015 7:30pm,4/30/2015 8:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Othello,Seattle Shakespeare Co.,4/30/2015 7:30pm,4/30/2015 8:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Discover the Art of Culture,Exhibit essence cural festival,5/1/2015 9:00am,5/1/2015 10:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Star Wars and the Art of the Costume,"Travel to a Galaxy far, far away…",5/1/2015 10:00am,5/1/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Pompeii: The Exhibition,Pompeii before eruption,5/1/2015 10:00am,5/1/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Tell your friends I'm an artist,An exit exhibition w/ wally bivins,5/1/2015 11:00am,5/1/2015 12:00pm,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,The Hot Spot,Teatro Zinzani Performance,5/1/2015 6:30pm,5/1/2015  7:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Robin hood,Seattle Children Performance,5/1/2015 7:00pm,5/1/2015 8:00pm,start,"553549d4c7bf45e600d54166,55352fda846af9640a518a0f"
553fb2c019043c0b29be84a8,Seattle Center,Little Bee,Book-it Repatory Performance,5/1/2015 7:30pm,5/1/2015 8:30pm,start,55352fda846af9640a518a0f
